ph,turbidity,percentage
6.46,190,5
1.11,199,15
11.24,200,30
5.49,177,80
3.09,197,30
2.98,177,10
7,170,5
1.8,193,4
5.03,170,60
6.26,191,60
5.41,185,75
5.75,190,39
12.11,179,35
4.85,193,35
1.38,182,15
0.2,185,1
3.83,187,5
13.2,179,30
13.39,193,28
8.51,195,3
12.49,193,10
0.97,199,5
13.91,186,11
8.38,190,40
5.03,185,35
7.38,184,49
7.91,175,46
7.46,172,38
9.82,172,19
5.15,170,29
8.8,187,21
12.49,173,33
8.97,183,26
1.25,173,13
0.24,179,1
8.76,199,36
12.38,170,37
5.44,189,70
9.27,194,41
3.08,171,29
2.15,176,13
4.03,181,33
5.87,170,57
12.63,185,43
10.95,176,11
13.67,172,37
7.57,183,65
5.06,181,58
13.72,175,27
0.39,170,17
7,178,99
7.1,179,97
